addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,238,2.2059221062501044,Tel.,,Carrer d'Andrade,Telèfons,8020,57731068,932783135,Barcelona,Bàsquet,,651,,Sant Martí,,433641.7,236,﻿93258080322,,True,10,,,73,1,Pista Poliesportiva Municipal La Palmera,15201,1993-09-15T00:00:00,4585622.416,,2023-07-06T10:04:26.478124,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.419418473585765,,175085,la Verneda i la Pau,True,20001
,238,2.2059221062501044,Tel.,,Carrer d'Andrade,Telèfons,8020,57731071,932783135,Barcelona,Futbol sala,,651,,Sant Martí,,433641.7,236,﻿93258080322,,True,10,,,73,2,Pista Poliesportiva Municipal La Palmera,15201,1993-09-15T00:00:00,4585622.416,,2023-07-06T10:04:26.478124,65103004000003,Planol BCN >> Esports >> Esports d'equip >> Futbol sala,41.419418473585765,,175085,la Verneda i la Pau,True,20001
,238,2.2059221062501044,Tel.,,Carrer d'Andrade,Telèfons,8020,57732077,932783135,Barcelona,Altres esports,,651,,Sant Martí,,433641.7,236,﻿93258080322,,True,10,,,73,3,Pista Poliesportiva Municipal La Palmera,15201,1993-09-15T00:00:00,4585622.416,,2023-07-06T10:04:26.478124,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.419418473585765,,175085,la Verneda i la Pau,True,20001
,238,2.2059221062501044,Tel.,,Carrer d'Andrade,Telèfons,8020,57345754,932783135,Barcelona,Instal·lacions esportives,,651,,Sant Martí,,433641.7,236,﻿93258080322,,True,10,,,73,4,Pista Poliesportiva Municipal La Palmera,15201,1993-09-15T00:00:00,4585622.416,,2023-07-06T10:04:26.478124,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.419418473585765,,175085,la Verneda i la Pau,True,20001
,,2.1935644214906227,Tel.,,Pl Albert Badia i Mur,Telèfons,8027,57731068,93 707 76 41,BARCELONA,Bàsquet,,651,,Sant Andreu,,432617.74002387305,1,﻿99400651552,,True,9,,,61,5,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2025-07-02T10:25:26.582982,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.427868820111236,,233770,la Sagrera,True,20001
,,2.1935644214906227,Tel.,,Pl Albert Badia i Mur,Telèfons,8027,57731071,93 707 76 41,BARCELONA,Futbol sala,,651,,Sant Andreu,,432617.74002387305,1,﻿99400651552,,True,9,,,61,6,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2025-07-02T10:25:26.582982,65103004000003,Planol BCN >> Esports >> Esports d'equip >> Futbol sala,41.427868820111236,,233770,la Sagrera,True,20001
,,2.191931970363969,,,Via Bàrcino,,8033,57732077,,BARCELONA,Altres esports,,651,,Sant Andreu,,432501.8317087396,104,﻿92168152333,,True,9,,,57,66,Camp Municipal Futbol Trinitat Vella,34400,1987-07-15T00:00:00,4588766.854131123,,2023-10-04T12:55:58.083115,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.44764441746558,,,la Trinitat Vella,,
,,2.1935644214906227,Tel.,,Pl Albert Badia i Mur,Telèfons,8027,57731075,93 707 76 41,BARCELONA,Handbol,,651,,Sant Andreu,,432617.74002387305,1,﻿99400651552,,True,9,,,61,7,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2025-07-02T10:25:26.582982,65103004000007,Planol BCN >> Esports >> Esports d'equip >> Handbol,41.427868820111236,,233770,la Sagrera,True,20001
,,2.1935644214906227,Tel.,,Pl Albert Badia i Mur,Telèfons,8027,57732077,93 707 76 41,BARCELONA,Altres esports,,651,,Sant Andreu,,432617.74002387305,1,﻿99400651552,,True,9,,,61,8,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2025-07-02T10:25:26.582982,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.427868820111236,,233770,la Sagrera,True,20001
,,2.1935644214906227,Tel.,,Pl Albert Badia i Mur,Telèfons,8027,57345754,93 707 76 41,BARCELONA,Instal·lacions esportives,,651,,Sant Andreu,,432617.74002387305,1,﻿99400651552,,True,9,,,61,9,Pavellons Poliesportius Municipals Camp del Ferro,700715,2020-03-25T11:29:10,4586570.108553563,,2025-07-02T10:25:26.582982,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.427868820111236,,233770,la Sagrera,True,20001
